ID,LV,NEXTLVEXP,HP,MP,ATK,WEAPONATK,MATK,DEF,MDEF,EQUIPMENTDEF,SPD,LUCKY,INT,WEAPON01,WEAPON02,FEELING,FEELINGVALUE,SKILL,OVERDRIVE
Character01,1,0,20,9,3,10,16,1,2,22,3,6,2,Sword,Dagger,Ai,1,Character01Skill,OverDrive01
Character02,1,0,9,20,7,22,9,9,4,10,1,3,6,Lance,Axe,Do,2,Character02Skill,OverDrive01
Character03,1,0,7,16,6,29,7,5,5,13,5,4,4,Lance,Rod,Love,1,Character03Skill,OverDrive01
Character04,1,0,16,7,9,13,12,2,9,29,12,1,8,Sword,Axe,Raku,2,Character04Skill,OverDrive01
Character05,1,0,5,6,2,40,11,10,1,33,10,8,10,Lance,Dagger,Ki,1,Character05Skill,OverDrive01
Character06,1,0,6,5,12,33,4,11,3,40,8,11,7,Rod,Dagger,Zou,2,Character06Skill,OverDrive01
Character01,2,10,20,33,67,30,19,500,200,9,133,50,2,Sword,Dagger,Ai,1,Character01Skill,OverDrive01
Character02,2,10,56,20,29,9,22,56,75,50,300,133,6,Lance,Axe,Do,2,Character02Skill,OverDrive01
Character03,2,10,43,19,33,17,57,40,40,38,100,125,4,Lance,Rod,Love,1,Character03Skill,OverDrive01
Character04,2,10,31,71,44,23,33,200,22,14,33,300,8,Sword,Axe,Raku,2,Character04Skill,OverDrive01
Character05,2,10,80,67,200,10,45,30,400,15,20,25,10,Lance,Dagger,Ki,1,Character05Skill,OverDrive01
Character06,2,10,33,60,33,12,125,36,167,13,38,27,7,Rod,Dagger,Zou,2,Character06Skill,OverDrive01
Character01,3,20,65,36,15,40,53,2,6,110,8,20,500,Sword,Dagger,Ai,1,Character01Skill,OverDrive01
Character02,3,20,20,55,42,121,54,23,16,26,4,8,183,Lance,Axe,Do,2,Character02Skill,OverDrive01
Character03,3,20,26,64,30,75,18,28,28,34,13,10,250,Lance,Rod,Love,1,Character03Skill,OverDrive01
Character04,3,20,38,18,27,56,33,5,45,73,30,3,138,Sword,Axe,Raku,2,Character04Skill,OverDrive01
Character05,3,20,16,15,6,110,26,43,3,66,55,40,130,Lance,Dagger,Ki,1,Character05Skill,OverDrive01
Character06,3,20,36,17,36,91,8,30,8,96,35,44,143,Rod,Dagger,Zou,2,Character06Skill,OverDrive01
