ID,NAME,MAX,AREA,VALUE,CATEGORY,TARGET,SCOPE,INFLUENCE,DT,FC,FVC,BUY,SELL,FLAG,DETAIL
I0,ポーション,99,2,-100,0,1,0,0,0,4,3,100,50,0,キャラクター1人のHPを100回復する。
I1,メガポーション,99,2,-300,0,1,0,0,0,4,5,500,250,2,キャラクター1人のHPを300回復する。
I2,ギガポーション,99,2,-999,0,1,0,0,0,4,7,1000,500,4,キャラクター1人のHPを完全に回復する。
I3,マナポーション,99,2,-100,0,1,0,1,0,5,5,300,150,1,キャラクター1人のMPを100回復する。
I4,霊薬,99,2,-999,0,1,0,0,0,4,10,3000,1500,5,キャラクター1人のHPとMPを完全に回復する。
I5,癒しの霧,99,2,-250,0,1,1,0,0,4,5,2500,1250,3,キャラクター全員のHPを250回復する。
I6,命の石の欠片,99,2,-100,0,1,0,0,0,4,10,1500,750,2,キャラクター1人の「戦闘不能」状態を治療し、HPを100回復する。
I7,命の石,99,2,-999,0,1,0,0,0,4,15,5000,2500,5,キャラクター1人の「戦闘不能」状態を治療し、HPを完全に回復する。
I8,サフラン,99,1,0,1,1,0,0,0,0,25,200,100,0,キャラクター1人の「喜」の感情値を25増加させる。
I9,興奮剤,99,1,0,1,1,0,0,0,1,25,200,100,0,キャラクター1人の「怒」の感情値を25増加させる。
I10,鎮静剤,99,1,0,1,1,0,0,0,2,25,200,100,0,キャラクター1人の「哀」の感情値を25増加させる。
I11,アドレナリン,99,1,0,1,1,0,0,0,3,25,200,100,0,キャラクター1人の「楽」の感情値を25増加させる。
I12,ジャスミン,99,1,0,1,1,0,0,0,4,25,200,100,0,キャラクター1人の「愛」の感情値を25増加させる。
I13,藁人形,99,1,0,1,1,0,0,0,5,25,200,100,0,キャラクター1人の「憎」の感情値を25増加させる。
I14,ポーカーフェイス,99,1,0,1,1,0,0,0,0,0,1000,500,3,キャラクター1人のあらゆる感情値を0にする。
I15,ステロイド,99,1,0,1,1,0,2,6,1,5,300,150,1,キャラクター1人の攻撃力を一時的に上昇させる。
I16,プロテクター,99,1,0,1,1,0,3,6,0,5,300,150,1,キャラクター1人の防御力を一時的に上昇させる。
I17,魔導書,99,1,0,1,1,0,4,6,4,5,300,150,1,キャラクター1人の魔攻撃力を一時的に上昇させる。
I18,エーテルバリア,99,1,0,1,1,0,5,6,2,5,300,150,1,キャラクター1人の魔防御力を一時的に上昇させる。
I19,羽根のお守り,99,1,0,1,1,0,6,6,5,5,300,150,1,キャラクター1人の速度を一時的に上昇させる。
I20,コイン,99,1,0,1,1,0,7,6,3,5,300,150,1,キャラクター1人の運を一時的に上昇させる。
I21,投げナイフ,99,1,50,0,0,0,0,0,1,1,50,25,0,敵1体に50前後のダメージを与える。
I22,手榴弾,99,1,100,0,0,1,0,0,1,1,400,200,2,敵全体に100前後のダメージを与える。
I23,救急箱,99,0,-100,0,1,1,0,0,0,0,800,400,2,キャラクター全員のHPを100回復する。フィールドでのみ使用可能。
I24,忍者の書,99,0,0,0,2,0,0,0,0,0,500,250,1,ダンジョンから脱出し、拠点に帰還する。
