ID,SKILL,MP,ADV,MDV,PER,CATEGORY,TARGET,SCOPE,INFLUENCE,DT,FC,FVC,ID:確率/ID:確率・・・
0,序,3,110,0,0,1,0,0,0,0,1,2,1:20:00/0:0
1,破,6,120,0,0,1,0,0,0,0,1,3,2:20:00/9:25:00
2,断,9,135,0,0,1,0,0,0,0,1,4,3:20:00/4:10:00/9:25:00
3,轟,13,115,0,0,1,0,1,0,0,1,5,4:20:00/5:20:00/9:25:00
4,崩,16,145,0,0,1,0,0,0,0,1,6,6:20:00/0:09:25:00
5,覇,15,130,0,0,1,0,1,0,0,1,6,8:15:00/0:0
6,穿,18,150,0,0,1,0,0,0,0,1,8,7:20:00/0:0
7,壊,20,160,0,0,1,0,0,0,0,1,11,8:15:00/0:0
8,滅,23,150,0,0,1,0,1,0,0,1,12,7:15:00/0:0
9,留,6,0,0,0.5,0,2,0,2,3,1,5,0:0/0:0
10,桔梗,3,110,0,0,1,0,0,0,0,5,1,11:20:00/0:0
11,銀杏,6,120,0,0,1,0,0,0,0,5,2,12:20:00/13:10:00
12,紫陽花,10,115,0,0,1,0,1,0,0,5,3,13:20:00/0:0
13,薊,13,130,0,0,1,0,0,0,0,5,4,14:20:00/0:0
14,鬼灯,16,135,0,0,1,0,0,0,0,5,5,15:20:00/0:0
15,糸繰草,15,140,0,0,1,0,0,0,0,5,7,16:20:00/0:0
16,花蘇芳,18,150,0,0,1,0,0,0,0,5,8,17:20:00/0:0
17,捩花,20,155,0,0,1,0,0,0,0,5,10,18:15:00/19:15:00
18,金盞花,23,135,0,0,1,0,1,0,0,5,11,19:15:00/0:0
19,花水木,25,160,0,0,1,0,0,0,0,5,12,18:15:00/0:0
20,アイ,3,110,0,0,1,0,0,0,0,4,2,21:25:00/22:25:00
21,ラヴ,5,0,130,0,1,1,0,0,0,4,5,22:25:00/0:0
22,アモール,6,115,0,0,1,0,0,0,0,4,4,23:20:00/24:20:00
23,リーベ,9,120,0,0,1,0,1,0,0,4,5,24:20:00/0:0
24,リーフデ,11,130,0,0,1,0,0,0,0,4,7,25:20:00/0:0
25,アッフェット,14,135,0,0,1,0,0,0,0,4,8,26:20:00/0:0
26,アフェクシオン,16,140,0,0,1,0,0,0,0,4,9,27:20:00/0:0
27,ピリアー,19,150,0,0,1,0,0,0,0,4,10,28:20:00/29:20:00
28,カーリタース,23,135,0,0,1,0,1,0,0,4,11,29:20:00/0:0
29,リゥボーフィ,25,160,0,0,1,0,0,0,0,4,12,0:0/0:0
30,エフレム,3,110,0,0,1,0,0,0,0,0,1,31:20:00/0:0
31,グレゴリウス,5,120,0,0,1,0,0,0,0,0,2,32:20:00/33:20:00
32,イグナティオス,6,115,0,0,1,0,1,0,0,0,3,33:20:00/0:0
33,アウグスティヌス,9,130,0,0,1,0,0,0,0,0,4,34:20:00/0:0
34,キプリアヌス,11,135,0,0,1,0,0,0,0,0,6,35:20:00/36:20:00
35,アンブロジウス,14,125,0,0,1,0,1,0,0,0,7,36:20:00/0:0
36,ヨセフ,16,140,0,0,1,0,0,0,0,0,8,37:20:00/0:0
37,ヒラリウス,19,150,0,0,1,0,0,0,0,0,10,38:20:00/39:20:00
38,ニコラオス,23,140,0,0,1,0,1,0,0,0,11,39:20:00/0:0
39,ゲオルギオス,25,160,0,0,1,0,0,0,0,0,12,0:0/0:0
40,顎,0,230,0,0,1,0,0,0,0,0,0,0:0/0:0
41,憎花枯散,0,230,0,0,1,0,0,0,0,0,0,0:0/0:0
42,アフロディーテ,0,180,0,0,1,0,1,0,0,0,0,0:0/0:0
43,汝に神々の導きあれ,0,180,0,0,1,0,1,0,0,0,0,0:0/0:0
44,嗤え、何もかも,0,0,230,0,1,0,0,0,0,0,0,0:0/0:0
