ID,LV,NEXTLVEXP,HP,MP,ATK,WEAPONATK,DEF,EQUIPMENTDEF,MATK,MGR,LUC,AGL,FEELING,FEELINGVALUE,SKILL,STATUSPOINT,OVERDRIVE,WEAPON01,WEAPON02
0,0,0,20,9,3,10,10,22,16,2,6,3,Do,1,Character02Skill,5,OverDrive01,Lance,Axe
1,1,20,11,18,11,12,19,11,21,16,16,14,Do,15,Character02Skill,5,OverDrive01,Lance,Axe
2,2,42,24,28,28,24,30,44,34,34,44,44,Do,36,Character02Skill,5,OverDrive01,Lance,Axe
3,3,69,48,60,42,54,66,39,63,66,42,51,Do,57,Character02Skill,5,OverDrive01,Lance,Axe
4,4,64,84,56,84,68,60,56,56,96,56,72,Do,56,Character02Skill,5,OverDrive01,Lance,Axe
5,5,90,125,90,80,75,115,120,115,110,85,110,Do,110,Character02Skill,5,OverDrive01,Lance,Axe
6,6,126,150,102,144,138,156,120,150,102,126,120,Do,126,Character02Skill,5,OverDrive01,Lance,Axe
7,7,140,147,126,126,189,161,133,140,168,126,140,Do,119,Character02Skill,5,OverDrive01,Lance,Axe
8,8,200,176,192,160,160,176,184,176,224,224,168,Do,224,Character02Skill,5,OverDrive01,Lance,Axe
9,9,234,171,216,198,234,216,171,243,261,189,207,Do,252,Character02Skill,5,OverDrive01,Lance,Axe
10,10,210,220,280,290,270,300,200,210,300,210,280,Do,240,Character02Skill,5,OverDrive01,Lance,Axe
