ID,LV,EXP,HP,MP,ATK,DEF,MATK,MGR,LUC,AGL,InitSkillList(ID/ID・・・)
P4_0,1,0,40,10,11,14,8,13,8,6,30/32
P4_1,2,10,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4/3/2/1
P4_2,3,21,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4/3/2
P4_3,4,33,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4/3
P4_4,5,46,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4
P4_5,6,60,0,0,0,0,0,0,0,0,10/9/8/7/6/5
P4_6,7,76,0,0,0,0,0,0,0,0,10/9/8/7/6
P4_7,8,93,0,0,0,0,0,0,0,0,10/9/8/7
P4_8,9,112,0,0,0,0,0,0,0,0,10/9/8
P4_9,10,133,0,0,0,0,0,0,0,0,10/9
P4_10,11,156,0,0,0,0,0,0,0,0,10
P4_11,12,181,0,0,0,0,0,0,0,0,10
P4_12,13,209,0,0,0,0,0,0,0,0,10
P4_13,14,240,0,0,0,0,0,0,0,0,10
P4_14,15,274,0,0,0,0,0,0,0,0,10
P4_15,16,311,0,0,0,0,0,0,0,0,10
P4_16,17,352,0,0,0,0,0,0,0,0,10
P4_17,18,397,0,0,0,0,0,0,0,0,10
P4_18,19,447,0,0,0,0,0,0,0,0,10
P4_19,20,502,0,0,0,0,0,0,0,0,10
P4_20,21,563,0,0,0,0,0,0,0,0,10
P4_21,22,630,0,0,0,0,0,0,0,0,10
P4_22,23,704,0,0,0,0,0,0,0,0,10
P4_23,24,785,0,0,0,0,0,0,0,0,10
P4_24,25,874,0,0,0,0,0,0,0,0,10
P4_25,26,972,0,0,0,0,0,0,0,0,10
P4_26,27,1080,0,0,0,0,0,0,0,0,10
P4_27,28,1199,0,0,0,0,0,0,0,0,10
P4_28,29,1330,0,0,0,0,0,0,0,0,10
P4_29,30,1474,0,0,0,0,0,0,0,0,10
P4_30,31,1632,0,0,0,0,0,0,0,0,10
P4_31,32,1806,0,0,0,0,0,0,0,0,10
P4_32,33,1997,0,0,0,0,0,0,0,0,10
P4_33,34,2208,0,0,0,0,0,0,0,0,10
P4_34,35,2440,0,0,0,0,0,0,0,0,10
P4_35,36,2695,0,0,0,0,0,0,0,0,10
P4_36,37,2976,0,0,0,0,0,0,0,0,10
P4_37,38,3285,0,0,0,0,0,0,0,0,10
P4_38,39,3625,0,0,0,0,0,0,0,0,10
P4_39,40,3999,0,0,0,0,0,0,0,0,10
