ID,HP,MP,ATK,DEF,MATK,MGR,LUC,AGL,FEELING,FEELINGVALUE,InitSkillList(ID/ID・・・)
P5_0,20,9,3,10,16,2,6,3,0,1,10/9/8/7/6/5/4/3/2/1/0
P5_1,21,11,20,16,13,16,20,20,0,15,10/9/8/7/6/5/4/3/2/1
P5_2,32,32,24,42,44,40,32,28,0,38,10/9/8/7/6/5/4/3/2
P5_3,54,45,63,66,54,45,63,60,0,45,10/9/8/7/6/5/4/3
P5_4,60,72,84,80,96,92,68,88,0,80,10/9/8/7/6/5/4
P5_5,85,95,120,95,90,90,90,105,0,75,10/9/8/7/6/5
P5_6,114,114,120,132,102,114,120,120,0,120,10/9/8/7/6
P5_7,161,147,154,182,147,161,175,133,0,175,10/9/8/7
P5_8,160,176,192,224,200,216,176,160,0,224,10/9/8
P5_9,243,243,225,243,207,216,261,180,0,225,10/9
P5_10,200,280,270,250,200,250,200,240,0,220,10
